article_id,glossary_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
2,3
2,8
3,7
4,5
4,6
5,10
5,12
5,20
8,1
8,2
9,30
10,24
11,26
13,23
13,29
13,21
15,22
15,31
19,25
19,27
20,28
21,31
22,23
23,32
23,33
24,36
25,37
25,34
28,31
28,21
29,35
30,33
31,36
33,37
34,39
35,40
37,38
38,37
39,40
41,42
41,43
42,41
42,44
42,2
43,46
43,50
45,49
45,48
45,47
47,46
47,45
48,44
49,1
50,6